Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/12/2022,Saldo Awal,"","","",16.0,UNIT,3909077.412554,4054054.054054,62545238.600864
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,05/01/2023,Sales Invoice,JL.2023.112,"",-1.0,15.0,UNIT,3909077.412554,4054054.054054,58636161.18831
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,10/01/2023,Sales Invoice,JL.2023.666,"",-1.0,14.0,UNIT,3909077.412554,4009009.009009,54727083.775756
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,12/01/2023,Sales Invoice,JL.2023.879,IBAN ,-2.0,12.0,UNIT,3909077.412554,4009009.009009,46908928.950648
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,11/02/2023,Sales Invoice,JL.2023.3545,"KO AGUS 

",-1.0,11.0,UNIT,3909077.412554,3981981.981982,42999851.538094
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/02/2023,Sales Invoice,JL.2023.4600,"",-1.0,10.0,UNIT,3909077.412554,3963963.963964,39090774.12554
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,09/03/2023,Sales Invoice,JL.2023.5992,"",-1.0,9.0,UNIT,3909077.412554,3603603.603604,35181696.712986
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,10/03/2023,Sales Invoice,JL.2023.6109,"",-1.0,8.0,UNIT,3909077.412554,3648648.648649,31272619.300432
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,12/03/2023,Sales Invoice,JL.2023.6293,"",-1.0,7.0,UNIT,3909077.412554,3603603.603604,27363541.887878
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,13/03/2023,Sales Invoice,JL.2023.6316,"",-1.0,6.0,UNIT,3909077.412554,3693693.693694,23454464.475324
