Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/12/2021,Saldo Awal,"","","",0.0,UNIT,5214233.436055,5500000.0,0.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,09/03/2022,Purchase Invoice,JL.2203.02185,"",5.0,5.0,UNIT,4450000.0,4450000.0,22250000.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,15/03/2022,Sales Invoice,TN.2022.1116,"",-1.0,4.0,UNIT,4450000.0,4772727.272727,17800000.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,16/03/2022,Sales Invoice,TN.2022.1119,"",-1.0,3.0,UNIT,4450000.0,4772727.272727,13350000.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,16/03/2022,Sales Invoice,TN.2022.1124,"",-1.0,2.0,UNIT,4450000.0,4772727.272727,8900000.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,17/03/2022,Sales Invoice,TN.2022.1126,"",-1.0,1.0,UNIT,4450000.0,4727272.727273,4450000.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,17/03/2022,Sales Invoice,TN.2022.1131,"",-1.0,0.0,UNIT,4450000.0,4727272.727273,0.0
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,18/03/2022,Purchase Invoice,JL.2203.05530,"",5.0,5.0,UNIT,4336363.636364,4336363.636364,21681818.181819998
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,19/03/2022,Purchase Invoice,JL.2203.05900,"",5.0,10.0,UNIT,4336363.636364,4336363.636364,43363636.363639995
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,19/03/2022,Purchase Invoice,JL.2203.06059,"",3.0,13.0,UNIT,4336363.636364,4336363.636364,56372727.272732
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,21/03/2022,Purchase Invoice,JL.2203.06434,"",5.0,18.0,UNIT,4336363.636364,4336363.636364,78054545.454552
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,22/03/2022,Purchase Invoice,JL.2203.06782,"",4.0,22.0,UNIT,4336363.636364,4336363.636364,95400000.000008
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/03/2022,Purchase Invoice,JL.2203.07215,"",4.0,26.0,UNIT,4336363.636364,4336363.636364,112745454.545464
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,24/03/2022,Sales Invoice,TN.2022.1159,KO AGUS ,-1.0,25.0,UNIT,4336363.636364,4545454.545455,108409090.9091
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,28/03/2022,Sales Invoice,TN.2022.1176,"",-1.0,24.0,UNIT,4336363.636364,4727272.727273,104072727.272736
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,29/03/2022,Sales Invoice,TN.2022.1181,"",-1.0,23.0,UNIT,4336363.636364,4727272.727273,99736363.636372
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,30/03/2022,Sales Invoice,TN.2022.1222,"",-1.0,22.0,UNIT,4336363.636364,4727272.727273,95400000.000008
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1189,"",-1.0,21.0,UNIT,4336363.636364,4727272.727273,91063636.363644
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1194,"",-1.0,20.0,UNIT,4336363.636364,4727272.727273,86727272.72727999
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1199,"",-1.0,19.0,UNIT,4336363.636364,4727272.727273,82390909.090916
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1208,"",-2.0,17.0,UNIT,4336363.636364,4727272.727273,73718181.818188
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1212,"",-1.0,16.0,UNIT,4336363.636364,4727272.727273,69381818.181824
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1213,"",-1.0,15.0,UNIT,4336363.636364,4727272.727273,65045454.54546
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1214,"",-1.0,14.0,UNIT,4336363.636364,4727272.727273,60709090.909096
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1215,"",-1.0,13.0,UNIT,4336363.636364,4727272.727273,56372727.272732
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1216,"",-1.0,12.0,UNIT,4336363.636364,4727272.727273,52036363.636368
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1217,"",-1.0,11.0,UNIT,4336363.636364,4727272.727273,47700000.000004
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/03/2022,Sales Invoice,TN.2022.1218,"",-1.0,10.0,UNIT,4336363.636364,4727272.727273,43363636.363639995
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,15/04/2022,Sales Invoice,TN.2022.1268,"KO AGUS

 BELUM KIRIM",-1.0,9.0,UNIT,4336363.636364,4504504.504505,39027272.727276
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,19/04/2022,Purchase Invoice,ACJ01/01/FP/2204/AI00012,"",12.0,21.0,UNIT,4362946.062946,4382882.882883,91621867.321866
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,20/04/2022,Sales Invoice,TN.2022.1296,"",-1.0,20.0,UNIT,4362946.062946,4639639.63964,87258921.25892
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,20/04/2022,Purchase Invoice,JL.2204.06567,"",5.0,25.0,UNIT,4368735.228735,4391891.891892,109218380.718375
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,21/04/2022,Sales Invoice,TN.2022.1301,"",-1.0,24.0,UNIT,4368735.228735,4639639.63964,104849645.48964
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,22/04/2022,Sales Invoice,TN.2022.1307,"",-1.0,23.0,UNIT,4368735.228735,4639639.63964,100480910.260905
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/04/2022,Purchase Invoice,JL.2204.07670,"",1.0,24.0,UNIT,4369700.0897,4391891.891892,104872802.15280001
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/04/2022,Purchase Invoice,JL.2204.07669,"",3.0,27.0,UNIT,4372165.845499,4391891.891892,118048477.82847299
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,23/04/2022,Purchase Invoice,JL.2204.07668,"",2.0,29.0,UNIT,4373526.262492,4391891.891892,126832261.612268
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,30/04/2022,Sales Invoice,TN.2022.1330,"",-1.0,28.0,UNIT,4373526.262492,4639639.63964,122458735.349776
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,06/05/2022,Sales Invoice,TN.2022.1336,"",-1.0,27.0,UNIT,4373526.262492,4639639.63964,118085209.087284
